Codigo,Descricao
5719,Utilidades e Mobília para o Lar
0000,NotApplicable
5533,Peças Automotivas, Lojas de Acessórios
5812,Restaurantes
7278,Compras / Serviços de Compras, Clubes
5912,Drogarias e Farmácias
5311,Lojas de Departamento
7372,Serviços de programação de computadores
5047,Médico, Dental Oftalmológico, Equipamentos e Suprimentos Hospitalares
6532,Instituicao de Pagamento Financeira
4722,Operadores / Agências de Viagem
6533,Instituição Financeira - Merchant
8999,Profissionais não relacionados
5811,Fornecedores
8931,Serviços de Contabilidade, Auditoria e Escrituração Contábil
5995,Animais / Comidas e Suprimentos
7922,Produtores Teatrais, Ingressos
4789,Serviço de Transporte de Alimentos
8299,COLEGIOS
4214,Operadoras de Transporte Automotivo e Transporte por Caminhões - Empresas Locais e de Longa Distância, Transporte e Armazenamento, e Serviços de Entrega Local
8099,Profissionais de saúde, serviços médicos - não classificados em outro lugar
6012,INSTITUICOES FINANCEIRAS
742 ,VETERINARIA
763 ,COOPERATIVA AGRÍCOLA
780 ,SERVIÇOS DE PAISAGISMO E HORTICULTURA
1520,EMPREITEIROS EM GERAL - COMERCIAL E RESIDENCIAL
1711,PREST. DE SERV. PARA AR COND., ENCANAMENTO E AQUEC.
1731,ELETRICISTAS E SERVIÇOS ELÉTRICOS
1740,PEDREIROS E SERVIÇOS DE INSTALAÇÃO
1750,MARCENEIROS E SERVIÇOS DE CARPINTARIA
1761,METALURGICOS
1771,EMPREITEIO PARA SERVIÇOS ESPECIALIZADO
1799,DEMAIS SVS DE REFORMA E CONSTRUÇÃO NÃO-CLASSIFICADOS
2741,EDITORAS - PUBLICAÇÕES E IMPRESSÕES
2791,TIPOGRAFIA, FABRICAÇÃO DE CHAPAS E SERVIÇOS RELACIONADOS
2842,LIMPEZA ESPECIALIZADA, POLIMENTO E PREPARAÇÕES PARA SANEAMENTO
4011,TRANSPORTE FERROVIÁRIO DE CARGA
4111,TRANSPORTE LOCAL DE PASSAGEIROS, INCLUINDO BALSAS
4112,TRANSPORTE DE PASSAGEIROS EM TREM (LONGA DISTÂNCIA)
4119,AMBULANCIAS
4121,LIMUSINES E TÁXIS (TAXICABS AND LIMOUSINES)
4131,COMPANHIAS DE ONIBUS
4215,CORREIOS - AÉREO, TERRESTRE E TRANSITÓRIOS
4225,STORAGE, WAREHOUSING
4411,LINHAS DE CRUZEROS (CRUISE LINES)
4457,ALUGUEL DE BARCOS E ARRENDAMENTOS
4468,MARINAS, SERVIÇOS E FORNECEDORES
4511,OUTRAS CIAS AÉREAS
4582,AEROPORTOS, TERMINAIS DE AEROPORTO, CAMPOS DE VÔO
4723,AGÊNCIAS DE VIAGEM TUI (TUI TRAVEL AGENCY)
4784,PEDÁGIOS
4812,TELEFONES E EQUIPAMENTOS DE TELECOMUN.
4813,SERVIÇOS DE TELEC.- CHAM. LOCAIS E LONGA DISTÂNCIA
4814,SERVIÇOS DE TELECOMUNICAÇÃO
4815,VISAPHONE
4816,REDES DE COMPUTADORES / SERVIÇOS DE INFORMAÇÃO
4821,TELEGRAFO
4829,MONEY ORDERS – WIRE TRANSFER
4899,SERVIÇOS DE TV A CABO/PAGA (CABLE/PAY TV SERVICES)
4900,UTILID./ELEC/GAS/AGUÁ/SANI (UT../ELEC/GAS/H2O/SANI)
5013,MOTOR VEHICLE SUPPLIES AND NEW PARTS
5021,MÓVEIS PARA ESCRITÓRIOS (COMMERCIAL FURNITURE)
5039,MATERIAL PARA CONSTRUÇÃO E AFINS (CONST. MAT. - DEF)
5044,OFFICE, PHOTOGRAPHIC, PHOTOCOPY, AND MICROFILM EQUIPMENT
5045,COMPUTADORES, EQUIPAMENTOS E SOFTWARES
5046,COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED
5051,CENTROS DE SERVIÇOS DE METAIS (METAL SERVICE CENTERS)
5065,LOJA ARTIGOS ELETRÔNICOS
5072,EQUIP./DISTRIB. DE HARDWARE (HARDWARE EQUIP.SUPPLIES)
5074,EQUIP. DE AQUECIMENTO/ENCANAMENTO (PLUMB./HEAT. E.)
5085,INDUSTRIAL SUPPLIES, NOT ELSEWHERE CLASSIFIED
5094,JOALHERIA, PEDRAS PRECIOSAS, METAIS
5099,ATACADISTAS E DISTRIBUIDORES DE MERCADORIAS DURÁVEIS
5111,STATIONERY, OFFICE SUPPLIES, PRINTING, AND WRITING PAPER
5122,FARMACEUTICOS/DROGAS (DRUGS/DRUGGISTS SUNDRIES)
